$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,004300364b34500b20393636
$VAR,SESSION_ID,9bab3c02b932c3477e1f0e7b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$BARO,105271.334,96247.19,18.87
$MAG,105271.347,-0.162,0.771,-0.142,15.8
$IMU,105271.368,-4.882,-63.537,56.396,-0.12451,-0.52587,0.79687,18.04
$HUM,105271.370,49.0,17.7
$BARO,105271.374,96238.69,18.87
$BARO,105271.415,96245.44,18.87
$IMU,105271.443,13.366,-89.599,72.387,-0.10937,-0.45458,0.66210,18.01
$MAG,105271.447,-0.166,0.786,-0.133,15.7
$HUM,105271.451,48.8,17.7
$BARO,105271.456,96245.05,18.87
$VBAT,105271.484,3.918
$BARO,105271.497,96247.17,18.87
$IMU,105271.519,6.530,-102.233,77.331,0.07373,-0.27001,0.69091,18.04
$HUM,105271.532,48.9,17.7
$BARO,105271.537,96238.66,18.87
$MAG,105271.547,-0.151,0.811,-0.097,15.7
$BARO,105271.578,96239.83,18.88
$IMU,105271.595,-35.339,-76.110,76.599,0.18212,-0.48876,0.81445,18.00
$HUM,105271.614,48.9,17.7
$BARO,105271.619,96249.09,18.87
$MAG,105271.647,-0.097,0.838,-0.057,15.8
$BARO,105271.660,96246.39,18.87
$IMU,105271.670,-38.024,-38.024,81.604,0.03564,-0.61425,1.01757,18.03
$HUM,105271.695,48.9,17.7
$BARO,105271.700,96243.12,18.87
$BARO,105271.741,96230.57,18.88
$IMU,105271.746,11.535,-14.648,52.734,0.00585,-0.51171,1.04003,17.99
$MAG,105271.747,-0.066,0.840,-0.082,15.8
$HUM,105271.776,48.9,17.7
$BARO,105271.782,96249.48,18.87
$IMU,105271.821,52.734,10.375,15.869,-0.02294,-0.49169,1.04882,18.04
$BARO,105271.823,96250.83,18.88
$MAG,105271.847,-0.048,0.817,-0.127,15.8
$HUM,105271.857,48.9,17.7
$BARO,105271.863,96239.81,18.88
$IMU,105271.897,74.645,29.663,8.117,-0.09960,-0.34814,1.03173,18.01
$BARO,105271.904,96241.17,18.88
$HUM,105271.938,48.9,17.7
$BARO,105271.945,96243.10,18.88
$MAG,105271.947,-0.012,0.781,-0.187,15.8
$IMU,105271.972,80.749,40.222,11.535,-0.18994,-0.37060,0.95996,18.01
$BARO,105271.986,96247.73,18.88
$HUM,105272.019,48.9,17.7
$BARO,105272.026,96244.02,18.89
$MAG,105272.047,0.024,0.757,-0.210,15.8
$IMU,105272.048,58.105,33.935,18.554,-0.26318,-0.20605,0.89599,18.04
$BARO,105272.067,96240.78,18.88
$HUM,105272.100,48.8,17.7
$BARO,105272.108,96243.46,18.89
$IMU,105272.123,27.709,17.211,23.193,-0.38769,-0.14794,0.84912,18.03
$MAG,105272.147,0.046,0.738,-0.228,15.7
$BARO,105272.149,96239.98,18.89
