$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,004300364b34500b20393636
$VAR,SESSION_ID,9bab3c02b932c3477e1f0e7b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$MAG,105345.675,0.018,0.031,-0.013,17.7
$BARO,105345.687,96258.94,20.65
$IMU,105345.688,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.04
$HUM,105345.702,46.9,19.7
$BARO,105345.728,96252.53,20.65
$IMU,105345.763,-0.183,0.549,-0.183,0.00634,0.81054,0.63867,20.03
$BARO,105345.769,96263.38,20.65
$MAG,105345.775,0.019,0.030,-0.010,17.7
$HUM,105345.783,46.9,19.7
$BARO,105345.809,96262.82,20.64
$IMU,105345.839,-0.183,0.549,-0.183,0.00634,0.81005,0.63867,20.04
$BARO,105345.850,96256.80,20.65
$HUM,105345.864,46.9,19.7
$MAG,105345.875,0.007,0.036,0.000,17.5
$BARO,105345.891,96263.77,20.65
$IMU,105345.914,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.04
$BARO,105345.932,96247.49,20.65
$HUM,105345.945,46.8,19.6
$BARO,105345.972,96256.80,20.65
$MAG,105345.975,0.013,0.042,-0.006,17.7
$IMU,105345.990,-0.183,0.549,-0.183,0.00683,0.81054,0.63916,20.03
$VBAT,105345.999,3.887
$BARO,105346.013,96253.90,20.65
$HUM,105346.027,46.8,19.6
$BARO,105346.054,96257.58,20.65
$IMU,105346.065,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.05
$MAG,105346.075,0.016,0.033,-0.010,17.5
$BARO,105346.095,96251.36,20.65
$HUM,105346.108,47.0,19.7
$BARO,105346.135,96249.80,20.65
$IMU,105346.141,-0.183,0.549,-0.183,0.00634,0.81054,0.63867,20.00
$BARO,105346.176,96254.24,20.66
$MAG,105346.176,0.018,0.043,-0.015,17.7
$HUM,105346.189,46.9,19.7
$IMU,105346.216,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.06
$BARO,105346.217,96257.55,20.65
$BARO,105346.258,96247.10,20.65
$HUM,105346.270,47.0,19.6
$MAG,105346.276,0.007,0.039,-0.010,17.5
$IMU,105346.292,-0.183,0.549,-0.183,0.00683,0.81054,0.63916,20.03
$BARO,105346.298,96245.73,20.65
$BARO,105346.339,96251.17,20.65
$HUM,105346.351,46.8,19.6
$TIME,105346.354,593680.000,2305
$IMU,105346.367,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.02
$MAG,105346.376,0.019,0.039,-0.012,17.5
$BARO,105346.380,96252.51,20.66
$BARO,105346.420,96248.27,20.65
$HUM,105346.432,46.9,19.7
$IMU,105346.443,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.01
$BARO,105346.461,96253.48,20.66
$MAG,105346.476,0.016,0.039,-0.006,17.7
$BARO,105346.502,96248.05,20.66
$HUM,105346.514,46.9,19.7
$IMU,105346.519,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.05
$BARO,105346.543,96253.85,20.66
$MAG,105346.576,0.007,0.033,-0.001,17.7
$BARO,105346.583,96251.73,20.66
$IMU,105346.594,-0.183,0.549,-0.183,0.00634,0.81054,0.63867,20.03
$HUM,105346.595,46.8,19.7
$BARO,105346.624,96258.50,20.66
$BARO,105346.665,96245.90,20.66
$IMU,105346.670,-0.183,0.549,-0.183,0.00683,0.81103,0.63867,20.02
$MAG,105346.676,0.010,0.036,-0.016,17.7
$HUM,105346.676,46.9,19.7
$BARO,105346.706,96259.28,20.66
$IMU,105346.745,-0.183,0.549,-0.183,0.00683,0.81054,0.63818,20.05
$BARO,105346.746,96258.31,20.66
$HUM,105346.757,46.8,19.7
$MAG,105346.776,0.022,0.036,-0.013,17.5
$BARO,105346.787,96257.31,20.67
$IMU,105346.821,-0.183,0.549,-0.183,0.00683,0.81103,0.63916,19.97
$BARO,105346.828,96252.68,20.66
$HUM,105346.838,46.9,19.7
$BARO,105346.869,96251.90,20.67
$MAG,105346.876,0.016,0.036,-0.010,17.5
$IMU,105346.896,-0.183,0.549,-0.183,0.00634,0.81005,0.63964,20.09
$BARO,105346.909,96256.14,20.67
$HUM,105346.920,46.8,19.7
$BARO,105346.950,96254.99,20.67
$IMU,105346.972,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.02
$MAG,105346.976,0.022,0.037,-0.010,17.7
$BARO,105346.991,96255.80,20.66
$HUM,105347.001,47.0,19.7
$VBAT,105347.005,3.908
$BARO,105347.032,96253.24,20.67
$IMU,105347.047,-0.183,0.549,-0.183,0.00634,0.81005,0.63916,20.05
$BARO,105347.072,96256.33,20.67
$MAG,105347.076,0.016,0.040,-0.012,17.5
$HUM,105347.082,46.9,19.7
$BARO,105347.113,96263.33,20.67
$IMU,105347.123,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.04
$BARO,105347.154,96254.60,20.67
$HUM,105347.163,46.9,19.6
$MAG,105347.176,0.013,0.037,-0.013,17.7
$BARO,105347.194,96250.53,20.67
$IMU,105347.198,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.05
$BARO,105347.235,96249.75,20.67
$HUM,105347.244,46.9,19.7
$IMU,105347.274,-0.183,0.549,-0.183,0.00634,0.81005,0.63916,20.02
$BARO,105347.276,96256.33,20.67
$MAG,105347.277,0.018,0.049,-0.015,17.7
$BARO,105347.317,96252.46,20.67
$HUM,105347.325,46.9,19.7
$IMU,105347.349,-0.183,0.549,-0.183,0.00634,0.81005,0.63867,20.10
$TIME,105347.354,593681.000,2305
$BARO,105347.357,96258.09,20.67
$MAG,105347.377,0.012,0.043,-0.012,17.5
$BARO,105347.398,96253.24,20.67
$HUM,105347.406,46.7,19.7
$IMU,105347.425,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.03
$BARO,105347.439,96253.82,20.67
$MAG,105347.477,0.007,0.042,-0.010,17.5
$BARO,105347.479,96257.31,20.67
$HUM,105347.488,46.9,19.7
$IMU,105347.500,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.05
$BARO,105347.520,96254.80,20.67
$BARO,105347.561,96260.40,20.67
$HUM,105347.569,46.7,19.7
$IMU,105347.576,-0.183,0.549,-0.183,0.00683,0.81054,0.63867,20.05
$MAG,105347.577,0.018,0.030,-0.006,17.5
$BARO,105347.602,96254.02,20.67
$BARO,105347.642,96247.61,20.67
$HUM,105347.650,46.8,19.7
$IMU,105347.651,-0.183,0.549,-0.183,0.00634,0.81005,0.63964,20.03
$MAG,105347.677,0.015,0.034,-0.006,17.7
$BARO,105347.683,96263.89,20.67
$BARO,105347.724,96244.51,20.67
$IMU,105347.727,-0.183,0.549,-0.183,0.00585,0.81103,0.63867,20.04
$HUM,105347.731,46.9,19.7
$BARO,105347.765,96254.19,20.67
$MAG,105347.777,0.006,0.037,-0.007,17.7
$IMU,105347.803,-0.183,0.549,-0.183,0.00585,0.81103,0.63916,20.07
$BARO,105347.805,96254.41,20.67
$HUM,105347.812,46.9,19.7
$BARO,105347.846,96261.57,20.67
$MAG,105347.877,0.010,0.037,-0.015,17.7
$IMU,105347.878,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.04
$BARO,105347.887,96257.85,20.68
$HUM,105347.894,46.9,19.7
$BARO,105347.928,96259.60,20.68
$IMU,105347.954,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.06
$BARO,105347.968,96253.41,20.68
$HUM,105347.975,46.8,19.7
$MAG,105347.977,0.018,0.040,-0.009,17.7
$BARO,105348.009,96253.21,20.68
$VBAT,105348.013,3.903
$IMU,105348.029,-0.244,0.549,-0.183,0.00585,0.81103,0.63867,20.07
$BARO,105348.050,96252.04,20.68
$HUM,105348.056,46.9,19.7
$MAG,105348.077,0.009,0.040,-0.019,17.5
$BARO,105348.091,96261.53,20.68
$IMU,105348.105,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.04
$BARO,105348.131,96260.58,20.68
$HUM,105348.137,46.7,19.7
$BARO,105348.172,96261.33,20.68
$MAG,105348.177,0.012,0.045,-0.013,17.7
$IMU,105348.180,-0.183,0.549,-0.183,0.00585,0.81005,0.63916,20.06
$BARO,105348.213,96248.19,20.68
$HUM,105348.218,46.8,19.7
$BARO,105348.253,96256.31,20.68
$IMU,105348.256,-0.183,0.549,-0.183,0.00585,0.81005,0.63916,20.07
$MAG,105348.278,0.015,0.042,-0.013,17.5
$BARO,105348.294,96258.84,20.68
$HUM,105348.299,46.7,19.7
$IMU,105348.331,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.03
$BARO,105348.335,96252.82,20.68
$TIME,105348.354,593682.000,2305
$BARO,105348.376,96255.72,20.68
$MAG,105348.378,0.016,0.045,-0.015,17.7
$HUM,105348.381,46.9,19.7
$IMU,105348.407,-0.183,0.549,-0.183,0.00634,0.80957,0.63916,20.04
$BARO,105348.416,96254.36,20.68
$BARO,105348.457,96252.60,20.68
$HUM,105348.462,46.7,19.7
$MAG,105348.478,0.022,0.037,-0.010,17.7
$IMU,105348.482,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.11
$BARO,105348.498,96248.17,20.69
$BARO,105348.539,96252.41,20.69
$HUM,105348.543,46.9,19.7
$IMU,105348.558,-0.183,0.549,-0.183,0.00634,0.81054,0.63867,20.06
$MAG,105348.578,0.016,0.042,-0.015,17.5
$BARO,105348.579,96256.68,20.69
$BARO,105348.620,96259.58,20.68
$HUM,105348.624,46.8,19.7
$IMU,105348.633,-0.183,0.549,-0.183,0.00732,0.81005,0.63867,20.09
$BARO,105348.661,96254.53,20.69
$MAG,105348.678,0.012,0.036,-0.016,17.7
$BARO,105348.701,96251.63,20.69
$HUM,105348.705,46.7,19.7
$IMU,105348.709,-0.183,0.549,-0.183,0.00585,0.81054,0.63867,20.06
$BARO,105348.742,96251.65,20.69
$MAG,105348.778,0.013,0.043,-0.009,17.7
$BARO,105348.783,96252.60,20.69
$IMU,105348.784,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.04
$HUM,105348.787,46.9,19.7
$BARO,105348.824,96254.73,20.69
$IMU,105348.860,-0.183,0.549,-0.183,0.00585,0.81005,0.63867,20.08
$BARO,105348.864,96251.82,20.69
$HUM,105348.868,46.9,19.7
$MAG,105348.878,0.015,0.045,-0.016,17.7
$BARO,105348.905,96261.33,20.69
$IMU,105348.935,-0.183,0.549,-0.183,0.00683,0.81103,0.63916,20.09
$BARO,105348.946,96249.09,20.70
$HUM,105348.949,46.8,19.7
$MAG,105348.978,0.018,0.043,-0.004,17.7
$BARO,105348.987,96251.04,20.69
$IMU,105349.011,-0.183,0.549,-0.183,0.00585,0.81005,0.63916,20.06
$VBAT,105349.021,3.892
$BARO,105349.027,96254.92,20.69
$HUM,105349.030,46.8,19.7
$BARO,105349.068,96245.80,20.70
$MAG,105349.078,0.022,0.043,-0.018,17.8
$IMU,105349.087,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.07
$BARO,105349.109,96251.43,20.69
$HUM,105349.111,46.8,19.7
$BARO,105349.150,96252.21,20.70
$IMU,105349.162,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.07
$MAG,105349.178,0.018,0.037,-0.004,17.5
$BARO,105349.190,96251.04,20.69
$HUM,105349.192,46.8,19.7
$BARO,105349.231,96254.92,20.69
$IMU,105349.238,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.07
$BARO,105349.272,96257.82,20.69
$HUM,105349.274,46.7,19.7
$MAG,105349.278,0.009,0.037,-0.012,17.5
$BARO,105349.313,96256.26,20.70
$IMU,105349.313,-0.183,0.549,-0.183,0.00683,0.81103,0.63964,20.06
$BARO,105349.353,96249.68,20.69
$TIME,105349.354,593683.000,2305
$HUM,105349.355,46.8,19.7
$MAG,105349.378,0.013,0.036,-0.007,17.9
$IMU,105349.389,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.15
$BARO,105349.394,96253.36,20.70
$BARO,105349.435,96253.36,20.70
$HUM,105349.436,46.7,19.7
$IMU,105349.464,-0.183,0.488,-0.183,0.00585,0.81103,0.63867,20.06
$BARO,105349.475,96250.44,20.70
$MAG,105349.479,0.018,0.040,-0.007,17.7
$BARO,105349.516,96257.02,20.70
$HUM,105349.517,46.8,19.7
$IMU,105349.540,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.11
$BARO,105349.557,96257.41,20.70
$MAG,105349.579,0.019,0.043,-0.009,17.5
$BARO,105349.598,96259.16,20.70
$HUM,105349.598,46.7,19.8
$IMU,105349.615,-0.183,0.549,-0.183,0.00683,0.81005,0.63916,20.07
$BARO,105349.638,96253.53,20.70
$BARO,105349.679,96250.63,20.70
$MAG,105349.679,0.019,0.034,-0.012,17.7
$HUM,105349.680,46.9,19.7
$IMU,105349.691,-0.183,0.549,-0.183,0.00634,0.81103,0.63916,20.10
$BARO,105349.720,96261.87,20.70
$BARO,105349.760,96257.80,20.70
$HUM,105349.761,46.8,19.7
$IMU,105349.766,-0.183,0.549,-0.183,0.00634,0.81054,0.63867,20.13
$MAG,105349.779,0.024,0.028,-0.007,17.7
$BARO,105349.801,96262.65,20.70
$BARO,105349.842,96253.14,20.70
$HUM,105349.842,46.8,19.7
$IMU,105349.842,-0.183,0.549,-0.183,0.00585,0.81152,0.63916,20.11
$MAG,105349.879,0.021,0.033,-0.007,17.7
$BARO,105349.883,96251.80,20.70
$IMU,105349.917,-0.183,0.549,-0.183,0.00634,0.81054,0.63818,20.11
$BARO,105349.923,96256.63,20.70
$HUM,105349.923,46.7,19.7
$BARO,105349.964,96254.51,20.70
$MAG,105349.979,0.021,0.045,-0.016,17.7
$IMU,105349.993,-0.183,0.549,-0.183,0.00585,0.81103,0.63964,20.10
$HUM,105350.004,46.8,19.7
$BARO,105350.005,96250.61,20.71
$VBAT,105350.026,3.892
$BARO,105350.046,96254.12,20.71
$IMU,105350.068,-0.183,0.549,-0.183,0.00585,0.81152,0.63916,20.05
$MAG,105350.079,0.018,0.034,-0.010,17.7
$BARO,105350.086,96257.60,20.70
$HUM,105350.086,46.8,19.7
$BARO,105350.127,96259.53,20.70
$IMU,105350.144,-0.183,0.549,-0.183,0.00585,0.81103,0.63867,20.08
$HUM,105350.167,46.8,19.7
$BARO,105350.168,96254.12,20.70
$MAG,105350.179,0.016,0.031,-0.009,17.7
$BARO,105350.209,96248.66,20.71
$IMU,105350.220,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.10
$HUM,105350.248,46.6,19.7
$BARO,105350.249,96255.07,20.71
$MAG,105350.279,0.019,0.036,-0.006,17.8
$BARO,105350.290,96254.68,20.71
$IMU,105350.295,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.06
$HUM,105350.329,46.8,19.7
$BARO,105350.331,96252.34,20.71
$TIME,105350.354,593684.000,2305
$IMU,105350.371,-0.183,0.549,-0.183,0.00634,0.81103,0.63916,20.09
$BARO,105350.372,96249.24,20.71
$MAG,105350.380,0.019,0.042,-0.010,17.7
$HUM,105350.410,46.8,19.7
$BARO,105350.412,96260.84,20.71
$IMU,105350.446,-0.183,0.549,-0.183,0.00585,0.81103,0.63916,20.06
$BARO,105350.453,96257.58,20.71
$MAG,105350.480,0.024,0.027,-0.006,17.5
$HUM,105350.492,46.7,19.7
$BARO,105350.494,96256.97,20.71
$IMU,105350.522,-0.183,0.549,-0.183,0.00634,0.81152,0.63916,20.08
$BARO,105350.534,96251.17,20.71
$HUM,105350.573,46.8,19.7
$BARO,105350.575,96258.33,20.71
$MAG,105350.580,0.013,0.033,-0.009,17.7
$IMU,105350.597,-0.183,0.549,-0.183,0.00683,0.81005,0.63916,20.12
$BARO,105350.616,96256.21,20.71
$HUM,105350.654,46.7,19.7
$BARO,105350.657,96257.94,20.71
$IMU,105350.673,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.08
$MAG,105350.680,0.019,0.034,-0.015,17.7
$BARO,105350.697,96249.02,20.72
$HUM,105350.735,46.8,19.7
$BARO,105350.738,96259.50,20.71
$IMU,105350.748,-0.183,0.488,-0.183,0.00585,0.81103,0.63916,20.10
$BARO,105350.779,96249.41,20.72
$MAG,105350.780,0.007,0.028,-0.007,17.7
$HUM,105350.816,46.7,19.7
$BARO,105350.820,96257.75,20.72
$IMU,105350.824,-0.183,0.549,-0.183,0.00634,0.81005,0.63867,20.13
$BARO,105350.860,96253.68,20.71
$MAG,105350.880,0.016,0.036,-0.013,17.7
$HUM,105350.897,46.7,19.8
$IMU,105350.899,-0.183,0.549,-0.183,0.00634,0.81103,0.63964,20.11
$BARO,105350.901,96263.55,20.72
$BARO,105350.942,96253.87,20.72
$IMU,105350.975,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.07
$HUM,105350.979,46.7,19.7
$MAG,105350.980,0.013,0.039,-0.015,17.7
$BARO,105350.983,96253.87,20.72
$BARO,105351.023,96259.28,20.72
$VBAT,105351.029,3.898
$IMU,105351.050,-0.183,0.549,-0.183,0.00585,0.81103,0.63916,20.11
$HUM,105351.060,46.7,19.8
$BARO,105351.064,96259.11,20.72
$MAG,105351.080,0.022,0.042,-0.012,17.5
$BARO,105351.105,96256.19,20.72
$IMU,105351.126,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.09
$HUM,105351.141,46.8,19.8
$BARO,105351.145,96263.35,20.72
$MAG,105351.180,0.013,0.039,-0.006,17.7
$BARO,105351.186,96250.19,20.72
$IMU,105351.201,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.14
$HUM,105351.222,46.7,19.8
$BARO,105351.227,96259.28,20.72
$BARO,105351.268,96259.48,20.72
$IMU,105351.277,-0.183,0.549,-0.183,0.00585,0.81103,0.63916,20.10
$MAG,105351.281,0.019,0.042,-0.018,17.7
$HUM,105351.303,46.7,19.8
$BARO,105351.308,96254.43,20.73
$BARO,105351.349,96248.83,20.72
$IMU,105351.352,-0.183,0.549,-0.183,0.00634,0.81103,0.63916,20.09
$TIME,105351.354,593685.000,2305
$MAG,105351.381,0.028,0.036,-0.009,17.7
$HUM,105351.385,46.7,19.8
$BARO,105351.390,96253.46,20.72
$IMU,105351.428,-0.183,0.549,-0.183,0.00585,0.81103,0.63916,20.14
$BARO,105351.431,96253.87,20.72
$HUM,105351.466,46.7,19.8
$BARO,105351.471,96255.21,20.72
$MAG,105351.481,0.022,0.045,-0.009,17.8
$IMU,105351.504,-0.183,0.549,-0.183,0.00634,0.81054,0.63867,20.13
$BARO,105351.512,96249.78,20.73
$HUM,105351.547,46.7,19.8
$BARO,105351.553,96259.87,20.73
$IMU,105351.579,-0.183,0.549,-0.183,0.00585,0.81054,0.63867,20.09
$MAG,105351.581,0.016,0.030,-0.001,17.7
$BARO,105351.593,96255.99,20.72
$HUM,105351.628,46.7,19.7
$BARO,105351.634,96250.00,20.72
$IMU,105351.655,-0.183,0.549,-0.183,0.00585,0.81103,0.63867,20.13
$BARO,105351.675,96265.28,20.72
$MAG,105351.681,0.025,0.039,-0.013,17.5
$HUM,105351.709,46.7,19.8
$BARO,105351.716,96262.35,20.73
$IMU,105351.730,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.09
$BARO,105351.756,96253.65,20.73
$MAG,105351.781,0.030,0.051,-0.012,17.7
$HUM,105351.791,46.7,19.8
$BARO,105351.797,96253.26,20.73
$IMU,105351.806,-0.183,0.488,-0.183,0.00585,0.81103,0.63916,20.11
$BARO,105351.838,96259.26,20.73
$HUM,105351.872,46.7,19.8
$BARO,105351.879,96248.83,20.72
$MAG,105351.881,0.015,0.033,-0.010,17.7
$IMU,105351.881,-0.183,0.549,-0.183,0.00634,0.81054,0.63964,20.13
$BARO,105351.919,96254.43,20.73
$HUM,105351.953,46.7,19.8
$IMU,105351.957,-0.183,0.549,-0.183,0.00683,0.81103,0.63916,20.12
$BARO,105351.960,96259.26,20.73
$MAG,105351.981,0.015,0.033,-0.015,17.7
$BARO,105352.001,96261.01,20.73
$VBAT,105352.029,3.895
$IMU,105352.032,-0.183,0.549,-0.183,0.00634,0.81005,0.63867,20.16
$HUM,105352.034,46.8,19.8
$BARO,105352.041,96262.74,20.73
$MAG,105352.081,0.019,0.037,-0.007,17.5
$BARO,105352.082,96255.19,20.74
$IMU,105352.108,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.14
$HUM,105352.115,46.8,19.8
$BARO,105352.123,96249.36,20.73
$BARO,105352.164,96261.18,20.73
$MAG,105352.181,0.021,0.040,-0.009,17.7
$IMU,105352.183,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.13
$HUM,105352.196,46.8,19.8
$BARO,105352.204,96249.56,20.74
$BARO,105352.245,96260.60,20.74
$IMU,105352.259,-0.183,0.549,-0.183,0.00585,0.81103,0.63867,20.13
$HUM,105352.278,46.7,19.8
$MAG,105352.282,0.021,0.030,-0.016,17.5
$BARO,105352.286,96256.53,20.73
$BARO,105352.327,96251.68,20.74
$IMU,105352.334,-0.183,0.549,-0.183,0.00634,0.81054,0.63964,20.15
$TIME,105352.354,593686.000,2305
$HUM,105352.359,46.5,19.8
$BARO,105352.367,96256.53,20.74
$MAG,105352.382,0.009,0.042,-0.015,17.7
$BARO,105352.408,96257.31,20.73
$IMU,105352.410,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.11
$HUM,105352.440,46.7,19.8
$BARO,105352.449,96253.24,20.74
$MAG,105352.482,0.013,0.039,-0.021,17.7
$IMU,105352.485,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.15
$BARO,105352.489,96254.77,20.74
$HUM,105352.521,46.7,19.8
$BARO,105352.530,96254.97,20.74
$IMU,105352.561,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.11
$BARO,105352.571,96253.43,20.74
$MAG,105352.582,0.012,0.039,-0.007,17.5
$HUM,105352.602,46.7,19.8
$BARO,105352.612,96257.48,20.74
$IMU,105352.636,-0.183,0.549,-0.183,0.00683,0.81054,0.63867,20.15
$BARO,105352.652,96262.72,20.74
$MAG,105352.682,0.019,0.037,-0.012,17.7
$HUM,105352.684,46.7,19.8
$BARO,105352.693,96252.04,20.74
$IMU,105352.712,-0.183,0.549,-0.183,0.00634,0.81054,0.63867,20.16
$BARO,105352.734,96257.31,20.74
$HUM,105352.765,46.7,19.8
$BARO,105352.775,96270.08,20.74
$MAG,105352.782,0.018,0.036,-0.016,17.7
$IMU,105352.788,-0.183,0.549,-0.183,0.00634,0.81103,0.63818,20.18
$BARO,105352.815,96250.12,20.74
$HUM,105352.846,46.7,19.8
$BARO,105352.856,96256.11,20.74
$IMU,105352.863,-0.183,0.549,-0.183,0.00634,0.81103,0.63964,20.13
$MAG,105352.882,0.018,0.039,-0.004,17.7
$BARO,105352.897,96260.94,20.75
$HUM,105352.927,46.6,19.8
$BARO,105352.938,96269.28,20.75
$IMU,105352.939,-0.183,0.549,-0.183,0.00585,0.81103,0.63916,20.17
$BARO,105352.978,96256.50,20.75
$MAG,105352.982,0.024,0.036,-0.012,17.7
$HUM,105353.008,46.8,19.8
$IMU,105353.014,-0.183,0.549,-0.183,0.00683,0.81005,0.63916,20.16
$BARO,105353.019,96263.87,20.75
$VBAT,105353.034,3.898
$BARO,105353.060,96245.83,20.75
$MAG,105353.082,0.019,0.034,0.000,17.7
$HUM,105353.090,46.6,19.8
$IMU,105353.090,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.16
$BARO,105353.101,96249.34,20.75
$BARO,105353.141,96259.99,20.75
$IMU,105353.165,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.16
$HUM,105353.171,46.7,19.8
$BARO,105353.182,96253.19,20.75
$MAG,105353.182,0.016,0.039,-0.013,17.8
$BARO,105353.223,96259.21,20.75
$IMU,105353.241,-0.183,0.549,-0.183,0.00585,0.81054,0.63916,20.13
$HUM,105353.252,46.7,19.8
$BARO,105353.263,96251.65,20.75
$MAG,105353.283,0.012,0.039,-0.013,17.8
$BARO,105353.304,96267.35,20.75
$IMU,105353.316,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.16
$HUM,105353.333,46.6,19.8
$BARO,105353.345,96255.53,20.75
$TIME,105353.354,593687.000,2305
$MAG,105353.383,0.015,0.042,-0.013,17.7
$BARO,105353.386,96257.65,20.75
$IMU,105353.392,-0.183,0.549,-0.183,0.00683,0.81054,0.63916,20.16
$HUM,105353.414,46.6,19.8
$BARO,105353.426,96250.85,20.76
$BARO,105353.467,96260.75,20.75
$IMU,105353.467,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.18
$MAG,105353.483,0.019,0.031,-0.012,17.8
$HUM,105353.495,46.8,19.8
$BARO,105353.508,96260.36,20.76
$IMU,105353.543,-0.183,0.549,-0.183,0.00634,0.81005,0.63916,20.20
$BARO,105353.548,96254.73,20.75
$HUM,105353.577,46.7,19.8
$MAG,105353.583,0.022,0.030,-0.009,17.7
$BARO,105353.589,96254.92,20.76
$IMU,105353.618,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.13
$BARO,105353.630,96268.89,20.75
$HUM,105353.658,46.6,19.7
$BARO,105353.671,96254.73,20.75
$MAG,105353.683,0.013,0.039,-0.004,17.7
$IMU,105353.694,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.09
$BARO,105353.711,96254.34,20.75
$HUM,105353.739,46.7,19.8
$BARO,105353.752,96258.41,20.76
$IMU,105353.769,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.17
$MAG,105353.783,0.015,0.037,-0.012,17.7
$BARO,105353.793,96254.53,20.75
$HUM,105353.820,46.6,19.8
$BARO,105353.833,96260.14,20.76
$IMU,105353.845,-0.183,0.549,-0.183,0.00634,0.81103,0.63916,20.17
$BARO,105353.874,96257.07,20.75
$MAG,105353.883,0.016,0.033,-0.015,17.8
$HUM,105353.901,46.8,19.8
$BARO,105353.915,96246.58,20.76
$IMU,105353.920,-0.183,0.549,-0.183,0.00537,0.81103,0.63916,20.15
$BARO,105353.956,96262.48,20.75
$HUM,105353.983,46.6,19.8
$MAG,105353.983,0.015,0.040,-0.003,17.8
$BARO,105353.996,96267.33,20.76
$IMU,105353.996,-0.183,0.549,-0.183,0.00683,0.81054,0.63916,20.15
$BARO,105354.037,96259.97,20.75
$VBAT,105354.038,3.901
$HUM,105354.064,46.6,19.8
$IMU,105354.072,-0.183,0.549,-0.183,0.00634,0.81054,0.63916,20.18
$BARO,105354.078,96259.38,20.76
$MAG,105354.083,0.012,0.034,-0.010,17.8
$BARO,105354.119,96258.41,20.76
$HUM,105354.145,46.6,19.8
$IMU,105354.147,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.17
$BARO,105354.159,96253.17,20.76
$MAG,105354.183,0.013,0.043,-0.006,17.9
$BARO,105354.200,96260.36,20.76
$IMU,105354.223,-0.183,0.549,-0.183,0.00634,0.81103,0.63916,20.15
$HUM,105354.226,46.6,19.8
$BARO,105354.241,96260.53,20.76
$BARO,105354.281,96262.09,20.76
$MAG,105354.284,0.016,0.033,-0.010,17.7
$IMU,105354.298,-0.183,0.549,-0.183,0.00634,0.81103,0.63867,20.17
$HUM,105354.307,46.7,19.8
$BARO,105354.322,96261.31,20.76
$TIME,105354.354,593688.000,2305
$BARO,105354.363,96261.31,20.76
$IMU,105354.374,-0.183,0.549,-0.183,0.00537,0.81103,0.63964,20.15
$MAG,105354.384,0.012,0.031,-0.013,17.7
