time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-07-15T13:49:49.41Z,60.2817529,17.4229913,4076.170,-34.32,-23.89,1.78,95.369,400.979,4.45,214.84939,1.97767,3,5
2023-07-15T13:49:49.60Z,60.2817068,17.4229153,4079.485,-34.18,-24.16,1.20,44.947,107.558,2.24,215.25154,1.20968,3,6
2023-07-15T13:49:49.80Z,60.2816395,17.4228197,4077.265,-34.12,-24.16,1.01,39.785,98.788,1.86,215.30165,1.12326,3,6
2023-07-15T13:49:50.00Z,60.2815694,17.4227242,4074.078,-34.37,-24.27,0.78,32.805,82.415,1.73,215.22740,1.11347,3,6
2023-07-15T13:49:50.20Z,60.2815023,17.4226381,4073.050,-34.13,-23.86,0.66,28.378,72.178,1.67,214.95626,1.11403,3,6
2023-07-15T13:49:50.40Z,60.2814326,17.4225520,4071.847,-34.28,-24.25,0.64,25.357,64.442,1.57,215.27416,1.07638,3,6
2023-07-15T13:49:50.60Z,60.2813681,17.4224676,4071.294,-33.60,-23.90,0.53,23.102,58.743,1.47,215.42741,1.07214,3,6
2023-07-15T13:49:50.80Z,60.2813027,17.4223850,4071.361,-34.05,-23.99,0.38,21.347,54.003,1.55,215.17178,1.06182,3,6
2023-07-15T13:49:51.00Z,60.2812403,17.4222998,4071.427,-33.54,-23.63,0.16,19.992,49.631,1.82,215.16748,1.10316,3,6
2023-07-15T13:49:51.20Z,60.2811783,17.4222149,4071.745,-33.81,-24.06,0.36,18.774,45.892,1.60,215.43699,1.05208,3,6
2023-07-15T13:49:51.40Z,60.2811168,17.4221242,4070.395,-33.88,-24.09,0.42,17.737,42.674,1.56,215.41154,1.04391,3,6
2023-07-15T13:49:51.60Z,60.2810580,17.4220397,4070.336,-33.46,-23.57,0.25,16.840,40.061,1.54,215.16914,1.06683,3,6
2023-07-15T13:49:51.80Z,60.2809991,17.4219555,4069.901,-33.30,-23.51,0.14,15.735,38.036,1.53,215.23013,1.17533,3,6
2023-07-15T13:49:52.00Z,60.2809403,17.4218721,4069.922,-33.46,-23.76,0.29,14.813,36.419,1.30,215.38368,1.12886,3,6
2023-07-15T13:49:52.20Z,60.2808812,17.4217885,4069.499,-33.68,-23.79,0.30,14.030,34.937,1.18,215.23812,1.10162,3,6
2023-07-15T13:49:52.40Z,60.2808213,17.4217053,4069.236,-33.72,-23.67,0.53,13.427,33.634,1.08,215.07053,1.11557,3,6
2023-07-15T13:49:52.60Z,60.2807611,17.4216203,4068.920,-33.58,-23.85,0.46,12.833,32.317,1.06,215.38301,1.11056,3,7
2023-07-15T13:49:52.80Z,60.2807023,17.4215362,4068.894,-33.62,-23.92,0.51,12.323,31.151,1.06,215.43194,1.13822,3,7
2023-07-15T13:49:53.00Z,60.2806425,17.4214533,4069.249,-33.80,-23.92,0.41,11.894,30.041,1.09,215.28410,1.12064,3,7
2023-07-15T13:49:53.20Z,60.2805825,17.4213719,4069.727,-33.70,-24.01,0.37,11.506,29.045,1.10,215.46984,1.09804,3,7
2023-07-15T13:49:53.40Z,60.2805231,17.4212930,4071.050,-33.72,-24.17,0.88,11.081,27.713,1.10,215.63427,0.96646,3,7
2023-07-15T13:49:53.60Z,60.2804650,17.4212176,4073.365,-33.73,-24.00,-0.03,10.737,26.520,1.13,215.43754,1.03575,3,7
2023-07-15T13:49:53.80Z,60.2804055,17.4211361,4074.119,-33.62,-23.95,0.36,10.415,25.248,1.16,215.46099,1.02713,3,7
2023-07-15T13:49:54.00Z,60.2803450,17.4210506,4073.951,-33.65,-24.06,0.79,10.109,23.963,1.14,215.56097,1.03726,3,7
2023-07-15T13:49:54.20Z,60.2802844,17.4209633,4073.784,-33.52,-24.05,0.61,9.816,22.818,1.13,215.65862,1.03709,3,7
2023-07-15T13:49:54.40Z,60.2802236,17.4208768,4073.509,-33.59,-24.07,0.59,9.549,21.809,1.11,215.61918,1.02137,3,7
2023-07-15T13:49:54.60Z,60.2801630,17.4207872,4072.818,-33.63,-24.20,0.46,9.305,20.920,1.09,215.74369,0.99470,3,7
2023-07-15T13:49:54.80Z,60.2801024,17.4206994,4072.145,-33.40,-23.99,0.37,9.087,20.140,1.08,215.68810,1.02425,3,7
2023-07-15T13:49:55.00Z,60.2800416,17.4206109,4071.417,-33.66,-24.22,0.42,8.892,19.443,1.11,215.72962,1.01382,3,7
2023-07-15T13:49:55.20Z,60.2799810,17.4205217,4070.423,-33.49,-24.02,0.33,8.694,18.691,1.07,215.65440,1.00548,3,7
2023-07-15T13:49:55.40Z,60.2799201,17.4204318,4069.609,-33.74,-24.38,0.42,8.515,18.026,1.09,215.85378,0.98147,3,7
2023-07-15T13:49:55.60Z,60.2798573,17.4203393,4069.232,-35.20,-25.88,1.01,8.348,17.430,1.10,216.32707,0.91751,3,7
2023-07-15T13:49:55.80Z,60.2797956,17.4202500,4068.928,-34.10,-24.55,0.13,8.200,16.895,1.38,215.75899,0.98896,3,7
2023-07-15T13:49:56.00Z,60.2797353,17.4201631,4068.940,-33.78,-24.57,-0.21,8.115,16.704,1.49,216.02539,1.39579,3,7
2023-07-15T13:49:56.20Z,60.2796754,17.4200763,4068.998,-33.56,-24.39,-0.15,8.039,16.528,1.52,216.00727,1.53948,3,7
2023-07-15T13:49:56.40Z,60.2796159,17.4199905,4069.151,-33.64,-24.17,-0.13,7.970,16.360,1.53,215.69661,1.57808,3,7
2023-07-15T13:49:56.60Z,60.2795572,17.4199058,4069.426,-33.39,-23.97,-0.13,7.901,16.199,1.54,215.67584,1.59195,3,7
2023-07-15T13:49:56.80Z,60.2794987,17.4198194,4069.547,-33.09,-24.31,-0.21,7.833,16.063,1.37,216.29893,1.64526,3,7
2023-07-15T13:49:57.00Z,60.2794412,17.4197328,4069.697,-32.73,-24.34,-0.56,7.767,15.959,1.15,216.63876,1.71733,3,7
2023-07-15T13:49:57.20Z,60.2793828,17.4196467,4069.938,-33.09,-24.22,-0.75,7.706,15.864,1.15,216.19960,1.81393,3,7
2023-07-15T13:49:57.40Z,60.2793235,17.4195611,4070.022,-33.46,-24.17,-0.46,7.651,15.773,1.19,215.84388,1.97696,3,7
2023-07-15T13:49:57.60Z,60.2792649,17.4194765,4070.323,-33.30,-23.96,-0.92,7.558,15.692,0.97,215.73162,1.80836,3,7
2023-07-15T13:49:57.80Z,60.2792060,17.4193902,4070.378,-33.10,-23.88,-1.08,7.470,15.620,0.98,215.81297,1.86403,3,7
2023-07-15T13:49:58.00Z,60.2791471,17.4193032,4070.336,-33.00,-24.26,-0.62,7.384,15.542,0.96,216.31801,1.74482,3,7
2023-07-15T13:49:58.20Z,60.2790888,17.4192176,4070.549,-32.76,-23.86,-0.89,7.310,15.466,0.95,216.07222,1.51613,3,7
2023-07-15T13:49:58.40Z,60.2790306,17.4191324,4070.967,-32.71,-23.87,-0.95,7.226,15.387,0.94,216.12782,1.44653,3,7
2023-07-15T13:49:58.60Z,60.2789733,17.4190470,4071.357,-32.25,-23.97,-1.02,7.147,15.313,0.98,216.62590,1.61932,3,7
2023-07-15T13:49:58.80Z,60.2789146,17.4189621,4071.641,-32.89,-23.46,-1.39,7.073,15.249,0.99,215.50340,1.58323,3,7
2023-07-15T13:49:59.00Z,60.2788554,17.4188783,4071.857,-32.94,-22.98,-1.34,7.026,15.187,1.30,214.89655,1.57915,3,7
2023-07-15T13:49:59.20Z,60.2787966,17.4187932,4071.797,-32.68,-23.37,-0.83,6.995,15.127,1.34,215.57740,1.56005,3,7
2023-07-15T13:49:59.40Z,60.2787387,17.4187106,4072.238,-32.54,-23.29,-1.08,6.969,15.073,1.38,215.58898,1.74878,3,7
2023-07-15T13:49:59.60Z,60.2786800,17.4186259,4072.161,-32.69,-23.19,-0.87,6.947,15.030,1.42,215.34779,1.83993,3,7
2023-07-15T13:49:59.80Z,60.2786218,17.4185421,4072.243,-32.56,-23.23,-0.79,6.920,14.977,1.30,215.50687,1.58510,3,7
2023-07-15T13:50:00.00Z,60.2785637,17.4184598,4072.570,-32.61,-23.02,-1.02,6.887,14.929,1.18,215.21895,1.49161,3,7
2023-07-15T13:50:00.20Z,60.2785053,17.4183769,4072.651,-32.67,-22.86,-0.94,6.836,14.872,1.12,214.98006,1.39513,3,7
2023-07-15T13:50:00.40Z,60.2784460,17.4182937,4072.659,-33.03,-22.61,-0.81,6.785,14.818,1.12,214.39676,1.38529,3,7
2023-07-15T13:50:00.60Z,60.2783865,17.4182108,4072.901,-33.19,-22.68,-1.08,6.735,14.764,1.11,214.34156,1.35931,3,7
2023-07-15T13:50:00.80Z,60.2783270,17.4181291,4073.256,-33.28,-22.56,-1.15,6.699,14.720,1.10,214.13615,1.42494,3,7
2023-07-15T13:50:01.00Z,60.2782678,17.4180461,4072.998,-32.87,-22.53,-0.52,6.632,14.662,0.89,214.42715,1.44964,3,7
2023-07-15T13:50:01.20Z,60.2782087,17.4179663,4072.815,-32.95,-21.55,-0.32,6.591,14.614,1.08,213.18962,1.46048,3,7
2023-07-15T13:50:01.40Z,60.2781499,17.4178861,4072.662,-32.76,-22.21,-0.12,6.554,14.569,1.11,214.14014,1.54255,3,7
2023-07-15T13:50:01.60Z,60.2780915,17.4178054,4072.530,-32.74,-22.47,0.03,6.500,14.523,0.93,214.46816,1.57461,3,7
2023-07-15T13:50:01.80Z,60.2780329,17.4177243,4072.312,-32.87,-22.48,0.16,6.451,14.483,0.93,214.37101,1.59962,3,7
2023-07-15T13:50:02.00Z,60.2779735,17.4176442,4072.164,-33.45,-22.41,-0.30,6.408,14.449,0.98,213.82016,1.71178,3,7
2023-07-15T13:50:02.20Z,60.2779133,17.4175635,4071.862,-33.79,-22.26,-0.19,6.362,14.405,0.94,213.37462,1.70175,3,7
2023-07-15T13:50:02.40Z,60.2778530,17.4174807,4071.545,-33.51,-22.70,-0.13,6.339,14.365,1.11,214.11412,1.83425,3,7
2023-07-15T13:50:02.60Z,60.2777936,17.4173997,4071.700,-33.16,-22.49,-0.36,6.319,14.319,1.11,214.14550,1.91958,3,7
