time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2023-07-15T10:06:36.20Z,60.2662259,17.4033159,3854.199,-34.29,-17.26,20.39,211.896,799.786,11.95,206.71444,11.35248,3,4
2023-07-15T10:06:36.40Z,60.2661605,17.4032635,3854.026,-34.43,-17.55,20.69,103.702,369.601,4.64,207.00928,4.23368,3,4
2023-07-15T10:06:36.60Z,60.2660856,17.4032057,3854.285,-34.12,-17.80,20.58,113.929,417.120,2.67,207.54586,2.42188,3,4
2023-07-15T10:06:36.80Z,60.2660181,17.4031482,3853.254,-32.89,-17.46,19.80,106.146,392.365,2.16,207.96808,1.91342,3,4
2023-07-15T10:06:37.00Z,60.2659526,17.4030879,3851.503,-33.22,-18.46,20.42,99.820,371.155,2.15,209.05248,1.87662,3,4
2023-07-15T10:06:37.20Z,60.2658947,17.4030201,3846.572,-33.10,-18.59,20.52,95.101,354.857,2.20,209.32465,1.89836,3,4
2023-07-15T10:06:37.40Z,60.2658298,17.4029579,3843.880,-33.40,-18.80,20.91,91.043,340.544,2.22,209.37685,1.88403,3,4
2023-07-15T10:06:37.60Z,60.2657712,17.4028903,3840.503,-33.42,-19.02,20.86,87.539,327.854,2.25,209.65226,1.94092,3,4
2023-07-15T10:06:37.80Z,60.2658959,17.4025314,3737.832,-33.28,-18.65,20.09,23.144,63.561,2.01,209.26220,1.48909,3,5
2023-07-15T10:06:38.00Z,60.2658363,17.4024631,3733.754,-33.53,-18.71,19.63,19.840,48.286,1.86,209.16363,1.39516,3,5
2023-07-15T10:06:38.20Z,60.2657629,17.4024769,3746.118,-33.20,-18.25,18.83,12.685,14.820,0.39,208.79539,0.75229,3,8
2023-07-15T10:06:38.40Z,60.2657024,17.4024175,3743.019,-33.13,-18.12,18.67,10.749,11.231,0.38,208.67872,0.66520,3,8
2023-07-15T10:06:38.60Z,60.2656448,17.4023549,3739.413,-33.10,-18.09,18.66,9.523,9.562,0.37,208.64984,0.62080,3,8
2023-07-15T10:06:38.80Z,60.2655867,17.4022928,3735.523,-32.99,-18.06,18.48,8.697,8.565,0.40,208.70643,0.64276,3,8
2023-07-15T10:06:39.00Z,60.2655275,17.4022308,3731.559,-32.72,-18.08,18.30,8.071,7.859,0.41,208.92754,0.63419,3,8
2023-07-15T10:06:39.20Z,60.2654693,17.4021662,3727.541,-32.64,-18.19,18.51,7.583,7.328,0.41,209.13293,0.64353,3,8
2023-07-15T10:06:39.40Z,60.2654120,17.4021003,3723.613,-32.47,-18.31,18.52,7.184,6.908,0.42,209.42017,0.73721,3,8
2023-07-15T10:06:39.60Z,60.2653546,17.4020350,3719.722,-32.34,-18.49,18.68,6.847,6.563,0.41,209.76456,0.70506,3,8
2023-07-15T10:06:39.80Z,60.2652965,17.4019680,3715.972,-32.19,-18.62,18.76,6.565,6.277,0.41,210.04765,0.68327,3,8
2023-07-15T10:06:40.00Z,60.2652384,17.4018995,3712.321,-32.02,-18.82,18.89,6.306,6.023,0.40,210.44381,0.66051,3,8
2023-07-15T10:06:40.20Z,60.2651807,17.4018317,3708.560,-32.06,-18.84,19.03,6.099,5.835,0.43,210.44664,0.73421,3,8
2023-07-15T10:06:40.40Z,60.2651231,17.4017661,3704.518,-31.97,-18.84,19.03,5.910,5.642,0.44,210.51856,0.71072,3,8
2023-07-15T10:06:40.60Z,60.2650656,17.4017001,3700.470,-31.91,-18.93,19.07,5.739,5.469,0.45,210.67925,0.70980,3,8
2023-07-15T10:06:40.80Z,60.2650083,17.4016312,3696.716,-31.67,-18.86,19.09,5.532,5.282,0.40,210.78374,0.52383,3,8
2023-07-15T10:06:41.00Z,60.2649516,17.4015618,3692.919,-31.69,-19.00,18.89,5.419,5.157,0.60,210.94161,0.82125,3,8
