slate,comp,flysight,fver,mp4,output,rtype
00:00:00,00:00:07,flysight_data/24-03-29/18-39-05/TRACK.CSV,3,2022_USPA/fs_2.mp4,2022_USPA_scored/2/flatspin,C
00:00:00,00:00:07,flysight_data/stockholm3.csv,2,2022_USPA/pp_2.mp4,2022_USPA_scored/2/pteam_pteradactyl,C
00:00:00,00:00:06,flysight_data/24-03-29/17-21-32/TRACK.CSV,3,2022_USPA/mm_2.mp4,2022_USPA_scored/2/moementum,C
